[✅ 정답] 이미지 0: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4098: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4099: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4100: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4101: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4102: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4103: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4104: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4105: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4106: 예측=전기·전자기기, 실제=전기·전자기기
[❌ 오답] 이미지 4107: 예측=테이블·체어, 실제=가방·박스·웨건
[✅ 정답] 이미지 4108: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4109: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4110: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4111: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4112: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4113: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4114: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4115: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4116: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4117: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4118: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4119: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4120: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4121: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4122: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4123: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4124: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4125: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4126: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4127: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4128: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4129: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4130: 예측=텐트·타프, 실제=텐트·타프
[❌ 오답] 이미지 4131: 예측=식기·주방, 실제=전기·전자기기
[✅ 정답] 이미지 4132: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4133: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4134: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4135: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4136: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4137: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4138: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4139: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4140: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4141: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4142: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4143: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4144: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4145: 예측=화로대·버너, 실제=화로대·버너
[❌ 오답] 이미지 4146: 예측=식기·주방, 실제=냉·난방용품
[✅ 정답] 이미지 4147: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4148: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4149: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4150: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4151: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4152: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4153: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4154: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4155: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4156: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4157: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4158: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4159: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4160: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4161: 예측=냉·난방용품, 실제=냉·난방용품
[❌ 오답] 이미지 4162: 예측=가방·박스·웨건, 실제=매트·침낭
[✅ 정답] 이미지 4163: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4164: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4165: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4166: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4167: 예측=테이블·체어, 실제=테이블·체어
[❌ 오답] 이미지 4168: 예측=매트·침낭, 실제=전기·전자기기
[✅ 정답] 이미지 4169: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4170: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4171: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4172: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4173: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4174: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4175: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4176: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4177: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4178: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4179: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4180: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4181: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4182: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4183: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4184: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4185: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4186: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4187: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4188: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4189: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4190: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4191: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4192: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4193: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4194: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4195: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4196: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4197: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4198: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4199: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4200: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 4201: 예측=매트·침낭, 실제=가방·박스·웨건
[✅ 정답] 이미지 4202: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4203: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4204: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4205: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4206: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4207: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4208: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4209: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4210: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4211: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4212: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4213: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4214: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4215: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4216: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4217: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4218: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4219: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4220: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4221: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 4222: 예측=매트·침낭, 실제=공구·액세서리
[✅ 정답] 이미지 4223: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4224: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4225: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4226: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4227: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4228: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4229: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4230: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4231: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4232: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4233: 예측=테이블·체어, 실제=테이블·체어
[❌ 오답] 이미지 4234: 예측=매트·침낭, 실제=가방·박스·웨건
[❌ 오답] 이미지 4235: 예측=전기·전자기기, 실제=화로대·버너
[✅ 정답] 이미지 4236: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4237: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4238: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4239: 예측=공구·액세서리, 실제=공구·액세서리
[❌ 오답] 이미지 4240: 예측=매트·침낭, 실제=가방·박스·웨건
[✅ 정답] 이미지 4241: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4242: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4243: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4244: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4245: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4246: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4247: 예측=식기·주방, 실제=식기·주방
[❌ 오답] 이미지 4248: 예측=가방·박스·웨건, 실제=식기·주방
[❌ 오답] 이미지 4249: 예측=가방·박스·웨건, 실제=전기·전자기기
[✅ 정답] 이미지 4250: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4251: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4252: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4253: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4254: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4255: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4256: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4257: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4258: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4259: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4260: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4261: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4262: 예측=화로대·버너, 실제=화로대·버너
[❌ 오답] 이미지 4263: 예측=매트·침낭, 실제=냉·난방용품
[✅ 정답] 이미지 4264: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4265: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4266: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4267: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4268: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4269: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4270: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4271: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4272: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4273: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4274: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4275: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4276: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4277: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4278: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4279: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4280: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4281: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4282: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4283: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4284: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4285: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4286: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4287: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4288: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4289: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4290: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4291: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4292: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4293: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4294: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4295: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4296: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4297: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4298: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4299: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4300: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4301: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4302: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4303: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4304: 예측=식기·주방, 실제=식기·주방
[❌ 오답] 이미지 4305: 예측=식기·주방, 실제=가방·박스·웨건
[✅ 정답] 이미지 4306: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4307: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4308: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4309: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4310: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4311: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4312: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4313: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4314: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4315: 예측=식기·주방, 실제=식기·주방
[❌ 오답] 이미지 4316: 예측=식기·주방, 실제=화로대·버너
[✅ 정답] 이미지 4317: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4318: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4319: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4320: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4321: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4322: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4323: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4324: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4325: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4326: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4327: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4328: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4329: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4330: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4331: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4332: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4333: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4334: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4335: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4336: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4337: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4338: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4339: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4340: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4341: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4342: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4343: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4344: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4345: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4346: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4347: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4348: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4349: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4350: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4351: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4352: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4353: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4354: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4355: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4356: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4357: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4358: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4359: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4360: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4361: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4362: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4363: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4364: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4365: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4366: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4367: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4368: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4369: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4370: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4371: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4372: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4373: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4374: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4375: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4376: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4377: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4378: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4379: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4380: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4381: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4382: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4383: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4384: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4385: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4386: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4387: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4388: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4389: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4390: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4391: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4392: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4393: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4394: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4395: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4396: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4397: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4398: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4399: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4400: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4401: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4402: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4403: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4404: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4405: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4406: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4407: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4408: 예측=텐트·타프, 실제=텐트·타프
[❌ 오답] 이미지 4409: 예측=화로대·버너, 실제=식기·주방
[✅ 정답] 이미지 4410: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4411: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4412: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4413: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4414: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4415: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4416: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4417: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4418: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4419: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4420: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4421: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4422: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4423: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4424: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4425: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4426: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4427: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4428: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4429: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4430: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4431: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4432: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4433: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4434: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4435: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4436: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4437: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4438: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4439: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4440: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4441: 예측=테이블·체어, 실제=테이블·체어
[✅ 정답] 이미지 4442: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4443: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4444: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4445: 예측=전기·전자기기, 실제=전기·전자기기
[✅ 정답] 이미지 4446: 예측=텐트·타프, 실제=텐트·타프
[✅ 정답] 이미지 4447: 예측=매트·침낭, 실제=매트·침낭
[❌ 오답] 이미지 4448: 예측=전기·전자기기, 실제=테이블·체어
[✅ 정답] 이미지 4449: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4450: 예측=식기·주방, 실제=식기·주방
[✅ 정답] 이미지 4451: 예측=랜턴, 실제=랜턴
[✅ 정답] 이미지 4452: 예측=냉·난방용품, 실제=냉·난방용품
[✅ 정답] 이미지 4453: 예측=화로대·버너, 실제=화로대·버너
[✅ 정답] 이미지 4454: 예측=매트·침낭, 실제=매트·침낭
[✅ 정답] 이미지 4455: 예측=가방·박스·웨건, 실제=가방·박스·웨건
[✅ 정답] 이미지 4456: 예측=공구·액세서리, 실제=공구·액세서리
[✅ 정답] 이미지 4457: 예측=냉·난방용품, 실제=냉·난방용품
